id,create_time,video_description,duration,view_count,like_count,comment_count,share_count
v_pub_url~v2-1.7665264215917365268,1780132404,who was sheriff gray in rdr2,62,92047,7363,368,1840
10f1e94f-1495-45c0-ae5e-a876c09bdf3d,1780218804,who was sheriff gray in rdr2,49,54449,4900,326,653
v_pub_url~v2-1.7665217786830063636,1780305204,who was  reverend swanson in rdr2,57,90278,5416,270,1805
v_pub_url~v2-1.7665215688689109013,1780391604,who was hosea in rdr2,57,79204,7920,316,1029
v_pub_url~v2-1.7665028741248174100,1780478004,who was hosea in rdr2,65,116569,6994,466,582
6fdfd316-d199-4dd8-839e-1b95a47b8f40,1780564404,who was lenny in rdr2,49,22892,2289,183,183
v_pub_url~v2-1.7664893460154992656,1780650804,who was john marston rdr,47,114051,9124,456,1026
c2c48596-09ce-45a5-95ad-0382165d7d79,1780737204,who was john marston,67,75128,7512,450,1126
v_pub_url~v2-1.7664888227149727745,1780823604,who is john marston,46,8359,752,50,108
v_pub_url~v2-1.7664886432917456913,1780910004,how tiktok works,46,11708,936,58,163
v_pub_url~v2-1.7664883223005038593,1780996404,computer science,63,46362,2781,139,927
f4fbaa50-8dc0-4e6a-bdc1-89d62e13f874,1781082804,hostory of internet,54,93763,11251,656,1500
v_pub_url~v2-1.7664860764817131521,1781169204,who is messi,57,29015,1450,203,232
v_pub_url~v2-1.7664644001325156353,1781255604,how hard drive works,68,117846,7070,589,1649
v_pub_url~v2-1.7664860298213459985,1781342004,who was arthur morgan in rdr2,58,19046,2285,95,95
v_pub_url~v2-1.7664860764817213441,1781428404,story of odeysseus,55,85693,6855,257,942
v_pub_url~v2-1.7664860764817164289,1781514804,odeyssues journey,69,101020,9091,707,1111
d64b35a3-f42f-464c-94e6-d7d136085838,1781601204,odeysseus's journey,47,109315,13117,546,1311
cfe7e9bd-b4bf-447b-b1d8-c604f3219745,1781687604,bluetooth bhaneko k ho?,66,6653,399,46,86
a1d24ea3-750c-4b37-b7ab-af496e635904,1781774004,how refrigirator works,51,98545,5912,591,1576
6d4ef834-0ed6-4472-9ecf-2a78bb081a02,1781860404,how induction motor starts,49,63995,7679,383,639
eb23bac8-fe12-4e8e-8aa3-d2ca9393986a,1781946804,how google works,51,96557,6758,579,579
0b31625a-ae82-4354-ac43-9d878d0647a8,1782033204,how nuclear fission works,60,65789,7236,197,1052
d003b6f7-7ce3-4ea6-ad9b-63c629c336d9,1782119604,how snapchat uses z transform,56,64948,5845,519,1104
b583ae26-21d0-466b-a9f1-33cfd1e8aed5,1782206004,history of titanic,58,25861,3103,77,155
771170c9-10ff-46eb-af3a-39916f3787df,1782292404,how titanic sunk,64,57096,5709,228,1141
70369e08-0ec4-4df0-b91d-931526de9cd3,1782378804,History of mount everest,52,39742,1987,119,596
9ae4f45a-2b7f-40fe-b212-cd955baf2345,1782465204,history of fifa world cup,70,89168,10700,535,1248
238e82b6-6057-4bf0-9bed-039bfc7f462c,1782551604,history of fifa world cup,48,23009,1840,184,115
e8a96071-614d-41c8-a654-81e4b4a70a5a,1782638004,history of fifa world cup,48,16840,1010,50,84
10a60f4e-05e5-4284-872a-eb9be456efef,1782724404,history of fifa world cup,63,49209,2460,344,442
11a640a0-2907-4d66-94f0-20205fd9ed04,1782810804,birdflu 2026,57,45532,2276,364,865
25e95b03-0c1c-41aa-9b3d-ec0e5dcb919b,1782897204,birdflu 2026,65,42539,4253,127,808
6d274ba7-5ad1-4925-9749-3954337e3619,1782983604,birdflu 2026,62,21057,1895,84,379
7baabc0c-ccf8-41bf-b0f5-aece1ddac983,1783070004,dhcp protocol bhaneko k ho ?,59,36103,3249,252,469
e8677919-73a8-41dc-8015-567b635a118c,1783156404,honey kina lamo samaya samma bigridaina,52,40848,4084,326,694
6fdb8661-b4ad-44a4-95c4-da80c424fb12,1783242804,who was alan turing,70,39268,2748,274,785
71e2152f-ec32-403a-9829-c1c42025b8db,1783329204,tottenham hotspur le koko player kinyo,61,21432,1071,150,235
538e8ea8-fcba-4fc7-bdc6-b5b9c17489ff,1783415604,fifa world cup ko dosro semifinal bholi kas kasko bich cha,70,8758,437,52,131
fbd7ab9d-64be-46f5-b3a0-ce567c61da23,1783502004,world cup ko dosro semifinal kas kasko bich cha,52,18189,2182,127,363
c512b5ea-8449-4c3a-9d7e-e3aa7c7d04cd,1783588404,world cup semifinal kasle jitla ?,50,12323,739,86,246
f3ec5663-d170-4c00-9e88-82d606014070,1783674804,nepal's new finance minister,70,98606,11832,690,1577
efb2865e-f8e2-4bba-891c-e2f29489094b,1783761204,nepal's new pm,51,44315,5317,221,620
9576619a-fa9f-4fa1-87c8-fadae54c82f2,1783847604,nepal's new pm,51,84324,7589,505,1433
7df823ae-4274-4f30-a813-eede85ca8155,1783934004,balen sarkar new traffic rules,56,37937,3034,151,758
d575c234-935a-415f-b9d0-e5bfe8428159,1784020404,balen sarkar new traffic rules,66,113750,10237,910,1933
c0158c01-0e48-46dc-8465-2fa981bb57d8,1784106804,balen sarkar new traffic rules,52,103052,8244,721,824
b3cbcc7f-8b10-4030-aea7-ec4ee8dad162,1784193204,balen sarkar new traffic rules,61,119224,7153,834,1907
fc6f89cf-f55d-461a-9eaa-3b524a4d75ab,1784279604,balen sarkar new traffic rules,67,108247,5412,649,541
7651cd6a-3226-4f6e-9094-26e54bec2d9d,1784366004,fifa worldcup 2026 fun facts,56,76207,6858,381,533
b0c61ebc-083c-4a1e-bb19-ddd650f0c566,1784452404,fifa worldcup 2026 fun facts,69,70538,8464,493,1199
1affbf99-283a-4926-86fd-7079ed5f95b0,1784538804,addidas trionda ball fun facts,56,85128,4256,340,1106
a1dbdb50-0537-499c-9ead-1b30087013bf,1784625204,how induction motor works,50,113756,9100,341,682
